id_venda,id_produto,nome_produto,categoria,preco_unitario,quantidade,data_venda,desconto,tem_produto,preco_faltante,subtotal,valor_total
1,1.0,Notebook Dell,Informática,3500.0,3,2025-10-01,50.0,True,False,10500.0,10450.0
2,2.0,Mouse Logitech,Acessórios,120.0,5,2025-10-02,0.0,True,False,600.0,600.0
3,3.0,"Monitor LG 24""",Informática,950.0,2,2025-10-03,0.0,True,False,1900.0,1900.0
4,4.0,Teclado Mecânico,Acessórios,420.0,1,2025-10-04,20.0,True,False,420.0,400.0
5,5.0,Headset Gamer,Acessórios,480.0,4,2025-10-05,15.0,True,False,1920.0,1905.0
6,6.0,Impressora HP,Periféricos,800.0,2,2025-10-06,0.0,True,False,1600.0,1600.0
7,7.0,Smartphone Samsung,Telefonia,2900.0,1,2025-10-07,200.0,True,False,2900.0,2700.0
8,8.0,Cabo HDMI 2m,Acessórios,40.0,10,2025-10-08,0.0,True,False,400.0,400.0
9,9.0,Webcam Logitech,Acessórios,310.0,3,2025-10-09,30.0,True,False,930.0,900.0
10,10.0,Roteador TP-Link,Redes,250.0,2,2025-10-10,10.0,True,False,500.0,490.0
11,11.0,SSD Kingston 480GB,Armazenamento,380.0,5,2025-10-11,0.0,True,False,1900.0,1900.0
12,12.0,HD Externo 1TB,Armazenamento,420.0,3,2025-10-12,25.0,True,False,1260.0,1235.0
13,13.0,Tablet Lenovo,Informática,1300.0,1,2025-10-13,0.0,True,False,1300.0,1300.0
14,14.0,"Monitor Samsung 27""",Informática,,2,2025-10-14,50.0,True,True,,0.0
15,15.0,Caixa de Som JBL,Sem categoria,550.0,6,2025-10-15,0.0,True,False,3300.0,3300.0
16,1.0,Notebook Dell,Informática,3500.0,1,2025-10-16,0.0,True,False,3500.0,3500.0
17,3.0,"Monitor LG 24""",Informática,950.0,4,2025-10-17,30.0,True,False,3800.0,3770.0
18,5.0,Headset Gamer,Acessórios,480.0,2,2025-10-18,0.0,True,False,960.0,960.0
19,7.0,Smartphone Samsung,Telefonia,2900.0,2,2025-10-19,150.0,True,False,5800.0,5650.0
20,8.0,Cabo HDMI 2m,Acessórios,40.0,0,2025-10-20,0.0,True,False,0.0,0.0
21,9.0,Webcam Logitech,Acessórios,310.0,1,2025-10-21,0.0,True,False,310.0,310.0
22,10.0,Roteador TP-Link,Redes,250.0,3,2025-10-22,0.0,True,False,750.0,750.0
23,11.0,SSD Kingston 480GB,Armazenamento,380.0,0,2025-10-23,20.0,True,False,0.0,0.0
24,12.0,HD Externo 1TB,Armazenamento,420.0,2,2025-10-24,0.0,True,False,840.0,840.0
25,13.0,Tablet Lenovo,Informática,1300.0,1,2025-10-25,10.0,True,False,1300.0,1290.0
26,14.0,"Monitor Samsung 27""",Informática,,0,2025-10-26,0.0,True,True,,0.0
27,15.0,Caixa de Som JBL,Sem categoria,550.0,5,2025-10-27,0.0,True,False,2750.0,2750.0
28,,,Sem categoria,,2,2025-10-28,0.0,False,True,,0.0
29,6.0,Impressora HP,Periféricos,800.0,1,2025-10-29,0.0,True,False,800.0,800.0
30,2.0,Mouse Logitech,Acessórios,120.0,4,2025-10-30,10.0,True,False,480.0,470.0
